deporte	liga	local	visita	fecha_hora_evento
Futbol	España / La Liga	Betis	Celta Vigo	2024-04-14T10:00Z
Futbol	España / La Liga	Mallorca	Real Madrid	2024-04-14T10:00Z
Futbol	España / La Liga	Osasuna	Valencia	2024-04-14T10:00Z
Futbol	España / La Liga	Las Palmas	Sevilla	2024-04-14T10:00Z
Futbol	España / La Liga	Real Sociedad	Almeria	2024-04-14T10:00Z
Futbol	España / La Liga	Cadiz	Barcelona	2024-04-14T10:00Z
Futbol	España / La Liga	Rayo Vallecano	Getafe	2024-04-14T10:00Z
Futbol	España / La Liga	Granada	Alaves	2024-04-14T10:00Z
Futbol	España / La Liga	Almeria	Villarreal	2024-04-21T10:00Z
Futbol	España / La Liga	Athletic	Granada	2024-04-21T10:00Z
Futbol	España / La Liga	Celta Vigo	Las Palmas	2024-04-21T10:00Z
Futbol	España / La Liga	Getafe	Real Sociedad	2024-04-21T10:00Z
Futbol	España / La Liga	Alaves	Atletico Madrid	2024-04-21T10:00Z
Futbol	España / La Liga	Real Madrid	Barcelona	2024-04-21T10:00Z
Futbol	España / La Liga	Valencia	Betis	2024-04-21T10:00Z
Futbol	España / La Liga	Girona	Cadiz	2024-04-21T10:00Z
Futbol	España / La Liga	Sevilla	Mallorca	2024-04-21T10:00Z
Futbol	España / La Liga	Rayo Vallecano	Osasuna	2024-04-21T10:00Z
Futbol	España / La Liga	Barcelona	Valencia	2024-04-28T10:00Z
Futbol	España / La Liga	Betis	Sevilla	2024-04-28T10:00Z
Futbol	España / La Liga	Almeria	Getafe	2024-04-28T10:00Z
Futbol	España / La Liga	Cadiz	Mallorca	2024-04-28T10:00Z
Futbol	España / La Liga	Granada	Osasuna	2024-04-28T10:00Z
Futbol	España / La Liga	Alaves	Celta Vigo	2024-04-28T10:00Z
Futbol	España / La Liga	Atletico Madrid	Athletic	2024-04-28T10:00Z
Futbol	España / La Liga	Las Palmas	Girona	2024-04-28T10:00Z
Futbol	España / La Liga	Villarreal	Rayo Vallecano	2024-04-28T10:00Z
Futbol	España / La Liga	Real Sociedad	Real Madrid	2024-04-28T10:00Z
Futbol	España / La Liga	Celta Vigo	Villarreal	2024-05-05T10:00Z
Futbol	España / La Liga	Rayo Vallecano	Almeria	2024-05-05T10:00Z
Futbol	España / La Liga	Getafe	Athletic	2024-05-05T10:00Z
Futbol	España / La Liga	Mallorca	Atletico Madrid	2024-05-05T10:00Z
Futbol	España / La Liga	Girona	Barcelona	2024-05-05T10:00Z
Futbol	España / La Liga	Real Madrid	Cadiz	2024-05-05T10:00Z
Futbol	España / La Liga	Osasuna	Betis	2024-05-05T10:00Z
Futbol	España / La Liga	Sevilla	Granada	2024-05-05T10:00Z
Futbol	España / La Liga	Real Sociedad	Las Palmas	2024-05-05T10:00Z
Futbol	España / La Liga	Valencia	Alaves	2024-05-05T10:00Z
Futbol	España / La Liga	Athletic	Osasuna	2024-05-12T10:00Z
Futbol	España / La Liga	Atletico Madrid	Celta Vigo	2024-05-12T10:00Z
Futbol	España / La Liga	Barcelona	Real Sociedad	2024-05-12T10:00Z
Futbol	España / La Liga	Cadiz	Getafe	2024-05-12T10:00Z
Futbol	España / La Liga	Granada	Real Madrid	2024-05-12T10:00Z
Futbol	España / La Liga	Alaves	Girona	2024-05-12T10:00Z
Futbol	España / La Liga	Betis	Almeria	2024-05-12T10:00Z
Futbol	España / La Liga	Valencia	Rayo Vallecano	2024-05-12T10:00Z
Futbol	España / La Liga	Villarreal	Sevilla	2024-05-12T10:00Z
Futbol	España / La Liga	Mallorca	Las Palmas	2024-05-12T10:00Z
Futbol	España / La Liga	Girona	Villarreal	2024-05-15T10:00Z
Futbol	España / La Liga	Almeria	Barcelona	2024-05-15T10:00Z
Futbol	España / La Liga	Real Sociedad	Valencia	2024-05-15T10:00Z
Futbol	España / La Liga	Celta Vigo	Athletic	2024-05-15T10:00Z
Futbol	España / La Liga	Getafe	Atletico Madrid	2024-05-15T10:00Z
Futbol	España / La Liga	Las Palmas	Betis	2024-05-15T10:00Z
Futbol	España / La Liga	Sevilla	Cadiz	2024-05-15T10:00Z
Futbol	España / La Liga	Osasuna	Mallorca	2024-05-15T10:00Z
Futbol	España / La Liga	Rayo Vallecano	Granada	2024-05-15T10:00Z
Futbol	España / La Liga	Real Madrid	Alaves	2024-05-15T10:00Z
Futbol	España / La Liga	Athletic	Sevilla	2024-05-19T10:00Z
Futbol	España / La Liga	Atletico Madrid	Osasuna	2024-05-19T10:00Z
Futbol	España / La Liga	Barcelona	Rayo Vallecano	2024-05-19T10:00Z
Futbol	España / La Liga	Betis	Real Sociedad	2024-05-19T10:00Z
Futbol	España / La Liga	Cadiz	Las Palmas	2024-05-19T10:00Z
Futbol	España / La Liga	Alaves	Getafe	2024-05-19T10:00Z
Futbol	España / La Liga	Mallorca	Almeria	2024-05-19T10:00Z
Futbol	España / La Liga	Granada	Celta Vigo	2024-05-19T10:00Z
Futbol	España / La Liga	Valencia	Girona	2024-05-19T10:00Z
Futbol	España / La Liga	Villarreal	Real Madrid	2024-05-19T10:00Z
Futbol	España / La Liga	Almeria	Cadiz	2024-05-26T10:00Z
Futbol	España / La Liga	Celta Vigo	Valencia	2024-05-26T10:00Z
Futbol	España / La Liga	Getafe	Mallorca	2024-05-26T10:00Z
Futbol	España / La Liga	Girona	Granada	2024-05-26T10:00Z
Futbol	España / La Liga	Osasuna	Villarreal	2024-05-26T10:00Z
Futbol	España / La Liga	Rayo Vallecano	Athletic	2024-05-26T10:00Z
Futbol	España / La Liga	Sevilla	Barcelona	2024-05-26T10:00Z
Futbol	España / La Liga	Real Sociedad	Atletico Madrid	2024-05-26T10:00Z
Futbol	España / La Liga	Real Madrid	Betis	2024-05-26T10:00Z
Futbol	España / La Liga	Las Palmas	Alaves	2024-05-26T10:00Z
